Product,Date,Invoice_No,Quantity,Weight,Amount,CGST,SGST,Party_Name,Location
17-05-25,B,796,30.00,0.00,0.00,0.00,SRI SAMBASIVA GENERAL MERCHENTS,NARASARAOPETA,TOTALS
17-05-25,B,799,10.00,0.00,0.00,0.00,RAM GARU,KANKIPADU,TOTALS
17-05-25,B,803,16.00,0.00,0.00,0.00,JAYASHREE VENKATESWARA SWAMY TRADERS,BHIMADOLU,TOTALS
19-05-25,B,816,20.00,0.00,0.00,0.00,SUREY SUBBA RAO AND CO,PEDDAPURAM,TOTALS
20-05-25,B,831,20.00,0.00,0.00,0.00,GANESH  TRADERS,GOLLAPALLI,TOTALS
20-05-25,B,828,25.00,0.00,0.00,0.00,VARA MAHALAKSHMI TRADERS,VIJAYAWADA,TOTALS
20-05-25,B,830,16.00,0.00,0.00,0.00,BHASKARA  TRADING COMPANY,VIJAYAWADA,TOTALS
21-05-25,B,864,25.00,0.00,0.00,0.00,SRINIVASA KIRANA TRADERS,ADDANKI,TOTALS
22-05-25,B,895,35.00,0.00,0.00,0.00,QUALITY GENERAL STORES,KAKINADA,TOTALS
22-05-25,B,896,20.00,0.00,0.00,0.00,ARUNODAYA ENTERPRISES,KAKINADA,TOTALS
22-05-25,B,880,10.00,0.00,0.00,0.00,M/S SRINIVASA GENERAL STORES.,GUDIVADA,TOTALS
22-05-25,B,888,10.00,0.00,0.00,0.00,SRIRAMA ANNAPURNA RICE AND GENERAL STORES,NUZIVEDU,TOTALS
22-05-25,B,890,16.00,0.00,0.00,0.00,SRI SRI PHANI RAGAVENDRA TRADERS,GUDIVADA,TOTALS
22-05-25,B,891,15.00,0.00,0.00,0.00,ISKALA SRININVASULU GENERAL MERCHANT,KANDUKUKURU,TOTALS
23-05-25,B,907,15.00,0.00,0.00,0.00,SRI JAIDURGA TRADERS,BHIMAVARAM,TOTALS
23-05-25,B,920,1.00,0.00,0.00,0.00,B RAMANA GARU,BAPATLA,TOTALS
26-05-25,B,945,20.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
26-05-25,B,952,25.00,0.00,0.00,0.00,SRI SAI MADAVI TRADERS,VIJAYAWADA,TOTALS
26-05-25,B,955,18.00,0.00,0.00,0.00,HEMALATHA ENTERPRISES,VIJAYAWADA,TOTALS
27-05-25,B,962,20.00,0.00,0.00,0.00,UMA TRADERS,NUZIVEDU,TOTALS
28-05-25,B,976,20.00,0.00,0.00,0.00,LAKSHMI TRADERS.,GUDIVADA,961.00
MASUR,02-05-25,B,585,2.00,5000.00,0.00,0.00,PADMAVATHI SWEETS,REPALLE
03-05-25,B,599,6.00,0.00,0.00,0.00,D ESAWR,KANIGIRI,TOTALS
08-05-25,B,673,4.00,0.00,0.00,0.00,NANDINI SWEETS,REPALLE,TOTALS
08-05-25,B,676,40.00,0.00,0.00,0.00,SRI LAKSHMI SAI TRADERS,PATTIPADU,TOTALS
09-05-25,B,687,11.00,0.00,0.00,0.00,OM VENKATESWARA GENERAL MERCHANTS,AMALAPURAM,TOTALS
10-05-25,B,703,10.00,0.00,0.00,0.00,SRI SAI TRADERS.,PAMUR,TOTALS
10-05-25,B,707,4.00,0.00,0.00,0.00,HARSHA GENERAL STORES,PONNUR,TOTALS
10-05-25,B,712,24.00,0.00,0.00,0.00,SAI PRIYA TRADERS,KATTIPUDI,TOTALS
10-05-25,B,717,10.00,0.00,0.00,0.00,SRI BAGAVAN GENRAL STORES,HANUMAN JUNCTIN,TOTALS
11-05-25,B,719,9.00,0.00,0.00,0.00,SRI LAKSHMI SRINIVASA TRADERS,KHANNAPURAM,TOTALS
12-05-25,B,731,10.00,0.00,0.00,0.00, SRI ANJANEYA TRADERS,CHIRALA,TOTALS
13-05-25,B,742,10.00,0.00,0.00,0.00,SRI VIJAYA DURGA TRADERS,NANDIGAMA,TOTALS
14-05-25,B,757,2.00,0.00,0.00,0.00,VIJAYA SWEETS,REPALLE,TOTALS
14-05-25,B,759,10.00,0.00,0.00,0.00,SRI SAI KRISHNA DALL MILL,SAMARLAKOT,TOTALS
